,Conservation Status,Phylum,Class,Order,Family,Scientific Name,Diet,Common Name,Color,Skin Type,Lifespan,Type,Predators,Birth rate,Conception Period,Habitat Loss,Climate Change,Human Influance,Pollution,Hunting,Predation,Disease,Invasive Species,Food Competition,Number Of Threats,Africa,America,Asia,Europe,Oceania,Ocean,Antarctica,Number Of Locations,IsExtinct
454,Not Listed,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,Pygmy goat,GreyBlackWhiteCaramel,Fur,12,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
455,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,Angora goats,RedBlackWhite,Hair,10,Mammals,1,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,0
456,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,None,Herbivore,None,BrownRedTan,Fur,10,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,3,0
457,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Aurochs,Omnivore,Aurochs,BrownBlackWhite,Hair,7,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,1
458,Vulnerable,Chordata,Mammalia,Artiodactyla,Suidae,Deer-pig,Omnivore,"Babirusa, deer-pig",BrownGrey,Hair,10,Mammal,1,1,2,1,0,0,0,0,0,0,0,1,2,0,0,1,0,0,0,0,1,0
459,Endangered,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus Bactrianus,Herbivore,Camelus Bactrianus,BrownTan,Fur,35,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
460,Vulnerable,Chordata,Mammalia,Artiodactyla,Eschrichtiidae,Mysticeti,Carnivore,baleen whale,GreyBlueBlack,Smooth,7,Mammal,2,1,43,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0
461,Not Listed,Chordata,Mammalia,Artiodactyla,Bovidae,Bos taurus × Bison bison,Herbivore,Beefalo,FawnRedBlack,Hair,0,Bovid,1,1,40,1,0,1,0,0,0,1,0,0,3,0,1,0,0,0,0,0,1,0
462,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis canadensis,Herbivore,Bighorn Sheep,WhiteDark BrownGrey-Brown,Hair,10,Mammals,4,1,25,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
463,Near Threatened,Chordata,Mammalia,Artiodactyla,Bovidae,Bison Bison,Herbivore,Bison Bison,BrownTan,Hair,15,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
464,Near Threatened,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus eurycerus,Herbivore,Bongo,BrownRedBlackWhiteOrangeChestnut,Fur,10,Mammal,3,1,39,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0
465,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Syncerus caffer,Herbivore,Syncerus caffer,BrownGreyBlack,Hair,15,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
466,Least Concern,Chordata,Mammalia,Artiodactyla,Camelidae,Camelus dromedarius,Herbivore,Camel,BrownBlackTanCream,Hair,40,Mammal,3,1,56,0,1,0,0,0,0,0,0,0,1,1,0,1,0,1,1,0,4,0
467,Vulnerable,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer tarandus,Herbivore,Caribou or reindeer,BrownGreyWhiteDark Grey,Fur,15,Mammal,2,1,33,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,2,0
468,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,Capra aegagrus hircus,BrownGreyBlackWhite,Hair,10,Ruminant,1,1,21,0,0,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,5,0
469,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Rupicapra rupicapra,Herbivore,Rupicapra rupicapra,BrownGreyBlackWhiteTan,Fur,18,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
470,Near Threatened,Chordata,Mammalia,Artiodactyla,Bovidae,Bos Taurus,Herbivore,Bos Taurus,BrownBlackWhite,Leather,12,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,0
471,Near Threatened,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus virginiana,Herbivore,Odocoileus virginiana,BrownWhiteTanOrange,Fur,10,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0
472,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,"Madoqua, small antelope",Herbivore,Dik-dik,BrownGreyRedBlackTan,Hair,10,Mammal,5,1,26,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0
473,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Cervus canadensis,Omnivore,"Elk, wapiti",Brown,Hair,10,Cervid,1,1,1,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2,0
474,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Dama dama,Herbivore,Dama dama,BrownBlackWhiteTan,Hair,20,Mammal,4,1,33,0,0,1,0,0,0,0,0,0,1,1,1,1,1,1,1,0,6,0
475,Near Threatened,Chordata,Mammalia,Artiodactyla,Delphinidae,Pseudorca crassidens,Carnivore,False killer whale,GreyBlackWhite,Smooth,7,Mammal,1,1,69,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,1,0,1,0
476,Endangered,Chordata,Mammalia,Artiodactyla,Giraffidae,Giraffa camelopardalis,Herbivore,Giraffe,BrownRedBlackWhiteTan,Hair,20,Mammal,1,1,65,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0
477,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,None,Herbivore,None,BrownBlackWhiteTan,Fur,10,Mammal,3,2,21,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,3,0
478,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Bos Taurus,Herbivore,Bos Taurus,BrownTanOrange,Hair,15,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,4,0
479,Vulnerable,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Hippopotamus amphibius,Herbivore,Hippopotamus,BrownGreyBlackPink,Leather,40,Mammal,1,1,34,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0
480,Vulnerable,Chordata,Mammalia,Artiodactyla,Bovidae,"Wild goat, steinbock, bouquetin",Herbivore,Ibex,BrownGrey,Hair,20,Mammal,4,1,24,1,0,0,0,1,0,0,0,1,3,1,1,1,1,0,0,0,4,0
481,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Aepyceros Melampus,Herbivore,Aepyceros Melampus,BrownWhiteTan,Fur,15,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
482,Endangered,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus virginianus,Herbivore,key deer,BrownWhiteGrey-Brown,Fur,9,Mammal,2,1,30,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
483,North-America,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus Hircus,Herbivore,Kiko goat,BrownBlackWhiteCream,Fur,12,Mammal,6,1,22,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,2,0
484,Not Evaluated,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,Kinder goat,BrownGreyBlackWhite,Hair,15,Mammal,1,1,20,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
485,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Tragelaphus Strepsiceros,Herbivore,Tragelaphus Strepsiceros,BrownGreyRed,Hair,8,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
486,Not Listed,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,LaMancha Goat,BrownGreyBlackWhite,Hair,7,Mammal,4,1,21,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0
487,Least Concern,Chordata,Mammalia,Artiodactyla,Camelidae,Lama Glama,Herbivore,Lama Glama,BrownBlackWhiteTan,Fur,15,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
488,Endangered,Chordata,Mammalia,Artiodactyla,Bovidae,Capra falconeri,Herbivore,Capra falconeri,BrownGreyBlackWhiteTan,Hair,10,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
489,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Alces alces,Herbivore,Alces alces,BrownGreyTan,Hair,10,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
490,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Barking deer and rib-faced deer,Omnivore,Muntjac,BrownBlackWhite,Hair,10,Mammal,8,1,34,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,2,0
491,Least Concern,Chordata,Mammalia,Artiodactyla,Artiodactyla,Ovibos moschatus,Herbivore,Muskox,WhiteDark Brown,Fur,20,Mammal,2,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
492,Not Listed,Chordata,Mammalia,Artiodactyla,Calvo,Capra aegagrus hircus,Herbivore,Nigerian dwarf goat,BrownRedBlackWhiteGoldCream,Hair,15,Caprid,1,1,2,0,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,2,0
493,Not Evaluated,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,Capra aegagrus hircus,BlackWhiteTanChestnut,Hair,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
494,Near Threatened,Chordata,Mammalia,Artiodactyla,Giraffidae,Okapia johnstoni,Herbivore,Okapi,BrownRedBlackWhite,Fur,20,Mammal,3,1,64,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,0
495,Extinct in the Wild,Chordata,Mammalia,Artiodactyla,Cervidae,Elaphurus davidianus,Herbivore,Pere David's Deer,BrownBlackWhite,Hair,18,Mammal,2,1,39,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,1
496,Least Concern,Chordata,Mammalia,Artiodactyla,Suidae,Sus scrofa scrofa,Omnivore,Sus scrofa scrofa,BrownGreyBlackWhitePink,Hair,15,Mammal,1,7,21,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,0
497,Least Concern,Chordata,Mammalia,Artiodactyla,Phocoenidae,Puffin Pig,Carnivore,Porpoise,BrownBlackWhite,Hair,0,Mammal,3,1,47,0,0,1,1,1,0,0,0,0,3,0,1,0,1,0,1,0,3,0
498,Least Concern,Chordata,Mammalia,Artiodactyla,Antilocapridae,Antilocapra americana,Herbivore,Pronghorns,BlackWhiteTan,Hair,10,Mammal,1,1,34,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
499,Endangered,Chordata,Mammalia,Artiodactyla,Hippopotamidae,Choeropsis liberiensis,Herbivore,Pygmy Hippopotamus,PinkLight GreyDark Grey,Leather,30,Mammal,3,1,30,1,0,0,0,1,0,0,0,1,3,1,0,0,0,0,0,0,1,0
500,Not Evaluated,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Herbivore,Pygora goat,BrownGreyBlackWhite,Fur,15,Mammal,5,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
501,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Rangifer Tarandus,Herbivore,Rangifer Tarandus,BrownGreyWhiteTan,Fur,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,0
502,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Capreolus capreolus,Herbivore,Roe Deer,BrownBlackWhite,Hair,10,Mammal,3,1,43,1,0,0,0,1,0,0,0,1,3,0,0,1,1,0,0,0,2,0
503,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Capra aegagrus hircus,Omnivore,saanen goat,WhiteCream,Hair,7,mammal,4,2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
504,Critically Endangered,Chordata,Mammalia,Artiodactyla,Bovidae,Saiga tatarica,Herbivore,Saiga,BrownGreyYellow,Hair,0,Antelope,4,1,21,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
505,Critically Endangered,Chordata,Mammalia,Artiodactyla,Bovidae,Pseudoryx nghetinhensis,Herbivore,Saola,BrownRedBlack,Fur,8,Mammal,3,1,34,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0
506,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Ovis aries,Herbivore,Ovis aries,BrownYellowBlackWhite,Fur,10,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,0
507,Near Threatened,Chordata,Mammalia,Artiodactyla,Calvo,Capra aegagrus hircus,Herbivore,Capra aegagrus hircus,BrownGreyFawn,None,6,Mammal,4,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0
508,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Antidorcas marsupialis,Herbivore,Springbok,BrownBlackWhite,Hair,9,Mammal,8,1,17,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,1,0
509,Vulnerable,Chordata,Mammalia,Artiodactyla,Bovidae,Budorcas taxicolor,Herbivore,Takin,BrownGreyYellowBlackWhiteGold,Hair,20,Hoofed Mammal,4,1,34,1,0,0,0,1,0,0,0,1,3,0,0,1,0,0,0,0,1,0
510,Critically Endangered,Chordata,Mammalia,Artiodactyla,Phocoenidae,Phocoena sinus,Omnivore,Vaquita,Grey,Smooth,1,Cetacean,1,1,47,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0
511,Least Concern,Chordata,Mammalia,Artiodactyla,Suidae,Phacochoerus africanus,Omnivore,Phacochoerus africanus,BrownGreyTan,Hair,12,Mammal,3,4,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
512,Endangered,Chordata,Mammalia,Artiodactyla,Bovidae,Bubalus bubalis,Herbivore,Bubalus bubalis,BrownGreyTan,Leather,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,0,6,0
513,Least Concern,Chordata,Mammalia,Artiodactyla,Cervidae,Odocoileus virginianus,Herbivore,White-tail deer,Brown,Hair,6,Mammal,6,1,3,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
514,Least Concern,Chordata,Mammalia,Artiodactyla,Suidae,Sus scrofa,Omnivore,Wild Boar,BrownGreyRedBlack,Fur,15,Mammal,3,5,13,1,0,0,0,0,0,0,0,1,2,0,0,1,1,0,0,0,2,0
515,Endangered,Chordata,Mammalia,Artiodactyla,Bovidae,Connochaetes Taurinus,Herbivore,Connochaetes Taurinus,BrownBlackTan,Hair,15,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
516,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Bison bison athabascae,Herbivore,"Mountain bison, buffalo",Brown,Hair,8,Mammal,1,1,39,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
517,Near Threatened,Chordata,Mammalia,Artiodactyla,Bovidae,Bos grunniens,Herbivore,Bos grunniens,BrownBlackWhite,Hair,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
518,Least Concern,Chordata,Mammalia,Artiodactyla,Bovidae,Bos taurus indicus,Herbivore,Bos taurus indicus,BrownBlackWhite,Leather,12,Mammal,3,1,21,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,2,0
519,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Arctodus simus,Herbivore,North American short-faced bear,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,1
520,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Equus conversidens,Herbivore,Mexican horse,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
521,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Platygonus compressus,Herbivore,Flat-headed peccary,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,1,2,0,1,0,0,0,0,0,1,1
522,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Anas schneideri,Herbivore,Schneider's duck,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
523,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Euphagus magnirostris,Herbivore,Large-billed blackbird,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
524,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Arctotherium tarijense,Herbivore,Argentinian short-faced bear,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
525,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Cervalces scotti,Herbivore,Stag-moose,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
526,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Bootherium bombifrons,Herbivore,Woodland muskox,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
527,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Nothrotheriops shastensis,Herbivore,Shasta ground sloth,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
528,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Equus capensis,Herbivore,Giant Cape zebra,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,1,1
529,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Ochotona whartoni,Herbivore,Giant pika,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
530,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Castoroides ohiensis,Herbivore,Giant beaver,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
531,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Tapirus veroensis,Herbivore,Vero tapir,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
532,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Oreamnos harringtoni,Herbivore,Harrington's mountain goat,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
533,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Hippidion saldiasi,Herbivore,Little South American horse,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,1,1
534,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Coelodonta antiquitatis,Herbivore,Woolly rhinoceros,BrownBlackWhite,None,15,Mammal,1,1,21,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1
535,Extinct,Chordata,Mammalia,Artiodactyla,Cervidae,Morenelaphus brachyceros,Herbivore,South American palmate-antlered deer,BrownBlackWhite,None,15,Mammal,1,1,21,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
536,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Pterodroma imberi,Herbivore,Imber's petrel,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,1
537,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Phalacrocorax africanus nanus,Herbivore,Mascarene reed cormorant,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,1
538,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Psittacara labati,Herbivore,Guadeloupe parakeet,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
539,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Pterodroma sp.,Herbivore,Rodrigues petrel,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1
540,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Erythromachus leguati,Herbivore,Rodrigues rail,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
541,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Mascarenotus murivorus,Herbivore,Rodrigues owl,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,1,1
542,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Necropsar rodericanus,Herbivore,Rodrigues starling,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
543,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Nesoenas rodericanus,Herbivore,Rodrigues pigeon,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,1,0,1,0,3,0,0,0,0,0,0,0,1,1
544,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Nycticorax megacephalus,Herbivore,Rodrigues night heron,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
545,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Columba thiriouxi,Herbivore,Mauritius wood pigeon,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,1,1
546,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Nesoenas cicur,Herbivore,Mauritius turtle dove,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,1,1
547,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Porphyrio caerulescens,Herbivore,Réunion swamphen,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
548,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Cylindraspis inepta,Herbivore,Saddle-backed Mauritius giant tortoise,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,1,1
549,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Cylindraspis triserrata,Herbivore,Domed Mauritius giant tortoise,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,1,4,0,0,0,0,0,0,0,1,1
550,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Corynanthe brachythyrsus,Herbivore,Corynanthe brachythyrsus,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
551,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Eschrichtius robustus,Herbivore,Atlantic gray whale,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
552,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Necropsittacus rodricanus,Herbivore,Rodrigues parrot,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
553,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Pezophaps solitaria,Herbivore,Rodrigues solitaire,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,3,0,0,0,0,0,0,0,1,1
554,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Hydrodamalis gigas,Herbivore,Steller's sea cow,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,1,2,0,0,0,0,0,0,0,1,1
555,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Threskiornis solitarius,Herbivore,Réunion ibis,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
556,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Lophopsittacus bensoni,Herbivore,Mauritius grey parrot,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
557,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Cyanoramphus ulietanus,Herbivore,Raiatea parakeet,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,1,0,1,0,4,0,0,0,0,0,0,0,1,1
558,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Alopecoenas ferrugineus,Herbivore,Tanna ground dove,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
559,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,?Aplonis ulietensis,Herbivore,Raiatea starling,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1
560,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Hypotaenidia hypoleucus,Herbivore,Tongatapu rail,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
561,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Prosobonia ellisi,Herbivore,Moorea sandpiper,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1
562,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Prosobonia leucoptera,Herbivore,Tahiti sandpiper,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1
563,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Amazona martinicana,Herbivore,Martinique amazon,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
564,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Amazona violacea,Herbivore,Guadeloupe amazon,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1
565,Extinct,Chordata,Mammalia,Artiodactyla,Bovidae,Zapornia nigra,Herbivore,Tahiti crake,BrownBlackWhite,None,15,Mammal,1,1,21,1,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,1
