,Common Name,Binomial name,Locations,Last record,Biggest Threat,Kingdom,Phylum,Class,Order,Family,Genus,Subphylum,Subfamily,Species,Tribe,Subtribe,Clade,Suborder,Infraclass,Declared extinct,Subspecies,Subgenus
602,Rio Grande bluntnose shiner,Notropis simus simus,UpperRio Grande,1964,Possibly habitat degradation and introduced species.[257],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
603,Crested shelduck,Tadorna cristata,"Primorye, Hokkaido, and Korea;Northeastern China?",1964,Undetermined.[435],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
604,Turgid blossom,Epioblasma turgidula,"SouthernAppalachiansandCumberland Plateau, United States",1965,Damming and water pollution.[436],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
605,Independence Valley tui chub,Gila bicolor isolata,"Warm Springs, Nevada, United States",1966,Predation by introduced species.[257],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
606,Narrow catspaw,Epioblasma lenior,"Tennessee River system, United States",1967,Damming.[437],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
607,Saint Helena earwig,Labidura herculeana,Saint Helena,1967,Predation by introduced animals.[438],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
608,New Zealand greater short-tailed bat,Mystacina robusta,New Zealand,1967,Predation by introduced Polynesian and black rats.[439],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,1988(IUCN),,
609,Amistad gambusia,Gambusia amistadensis,"Goodenough Spring, Texas, United States",1968,"Flooding of the spring by theAmistad Reservoir, hybridization and predation.[420][257]",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,1987,,
610,Bushwren,Xenicus longipes,New Zealand,1968,"Predation by introduced cats, rats,weasels, andstoats.[53]",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,1994(IUCN)[440],,
611,Kauaʻi ʻakialoa,Akialoa stejnegeri,"Kaua'i, Hawaii, United States",1969,Possibly habitat destruction and introduced disease.[441],Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,2016(IUCN),,
612,Blackfin cisco,Coregonus nigripinnis,Lakes Michigan and Huron,1969,"Overfishing, predation by introduced sea lampreys, and hybridization with other ciscoes.[257]",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
613,Tubercled blossom,Epioblasma torulosa torulosa,"Tennessee and Ohio River systems, United States",1969,"Impoundment,siltation, and pollution.[442]",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
614,Kouprey,Bos sauveli,NortheasternCambodia,1969-1970,Hunting.,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Bos,,Bovinae,B. sauveli,,,,,,,,
615,Socorro elf owl,Micrathene whitneyi graysoni,"Socorro,Revillagigedo Islands, Mexico",c. 1970,Habitat degradation.[53],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
616,Mexican dace,Evarra bustamantei,"Xochimilco-Tlahuac channels, Valley of Mexico",1970,Habitat destruction and pollution.[445],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1986(IUCN),,
617,Endorheic chub,Evarra tlahuacensis,"Lake Chalco, Valley of Mexico",1970,Habitat destruction and pollution.[446],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1986(IUCN),,
618,Saudi gazelle,Gazella saudiya,Arabian Peninsula,1970,Hunting.[447],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2008(IUCN),,
619,Clear Lake splittail,Pogonichthys ciscoides,"Clear Lakeand its tributaries, California, United States",1970,Habitat destruction and pollution from agriculture.[257],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
620,Acornshell,Epioblasma haysiana,"Tennessee and Cumberland River systems, United States",1970-1979,Exposure todomestic sewage.[448],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
621,Ticao Tarictic hornbill,Penelopidis panini ticaensis,"Ticao Island, Philippines",1971,Habitat destruction.[53],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
622,Tecopa pupfish,Cyprinodon nevadensis calidae,"TecopaHot Springs, California, United States",1972,Habitat degradation and introducedbluegill sunfishandmosquito fish.[420],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1982,,
623,Tropical acidweed,Desmarestia tropica,"Galápagos Islands, Ecuador",1972,Undetermined.[449],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
624,Mason River myrtle,Myrcia skeldingii,"Mason River, Jamaica",1972,Undetermined.[450],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1998(IUCN),,
625,Bitungu,Barbodes truncatulus,"Lake Lanao, Mindanao, Philippines",1973,Predation by introduced tank goby and ornate sleeper.[451],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
626,Bar-winged rail,Hypotaenidia poeciloptera,Fiji,1973,Predation by introduced cats and mongooses.[452],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1994(IUCN),,
627,Barbodes herrei,Barbodes herrei,"Lake Lanao, Mindanao, Philippines",1974,Predation by introduced tank goby and ornate sleeper.[453],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
628,Aragua robber frog,Pristimantis anotis,"Henri Pittier National Park,Aragua, Venezuela",1974,Chytridiomycosis?[454],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
629,Bagangan,Barbodes clemensi,"Lake Lanao, Mindanao, Philippines",1975,Predation by introduced tank goby and ornate sleeper.[455],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
630,Bitungu,Barbodes palaemophagus,"Lake Lanao, Mindanao, Philippines",1975,Predation by introduced tank goby and ornate sleeper.[456],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
631,Longjaw cisco,Coregonus alpenae,"Lakes Michigan, Huron, and Erie",1975,"Overfishing, predation by introducedsea lampreys, and hybridization with introduced ciscoes.[257]",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1986(IUCN),,
632,Phantom shiner,Notropis orca,Rio Grande,1975,"Possibly habitat loss, hybridization with thebluntnose shiner, and introduction of exotic fishes.[257]",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
633,Barbodes tras,Barbodes tras,"Lake Lanao, Mindanao, Philippines",1976,Predation by introduced tank goby and ornate sleeper.[457],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
634,Jalpa false brook salamander,Pseudoeurycea exspectata,"Cerro Miramundo,Jalapa, Guatemala",1976,Possibly logging and cattle grazing.[458],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
635,Mexican grizzly bear,Ursus arctos nelsoni,Aridoamerica,1976,Hunting.,Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
636,Barbodes katolo,Barbodes katolo,"Lake Lanao, Mindanao, Philippines",1977,Predation by introduced tank goby and ornate sleeper.[460],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
637,Barbodes manalak,Barbodes manalak,"Lake Lanao, Mindanao, Philippines",1977,Predation by introduced tank goby and ornate sleeper.[461],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
638,Colombian grebe,Podiceps andinus,"Bogotáwetlands, Colombia",1977,"Habitat loss, pollution, hunting, and predation of chicks by introducedrainbow trout.[462]",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,1994(IUCN),,
639,Eiao monarch,Pomarea fluxa,"Eiao,Marquesas Islands, French Polynesia",1977,"Possibly predation by introduced cats, black rats, and Polynesian rats; disease transmitted by introducedchestnut-breasted mannikin, and habitat loss due to grazing bysheep.[463]",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2006(IUCN),,
640,Craugastor myllomyllon,Craugastor myllomyllon,"Finca Volcán,Alta Verapaz, Guatemala",1978,Habitat destruction for agriculture.[464],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2020(IUCN),,
641,White-eyed river martin,Eurochelidon sirintarae,Central Thailand,1978,Hunting and habitat loss.[465],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
642,Little earth hutia,Mesocapromys sanfelipensis,"Key Juan García, Cuba",1978,"Hunting, man-made fires, and competition with black rats.[466]",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
643,Yunnan lake newt,Cynops wolterstorffi,"Kunming Lake,Yunnan, China",1979,"Pollution, habitat destruction, and introduced fish and frog species.[467]",Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2004(IUCN),,
644,Japanese river otter,Lutra lutra whiteleyi,Japan,1979,Hunting and habitat loss.[468],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2012,,
645,Caspian tiger,Panthera tigris virgata,"Transcaucasia,Kurdistan,Hyrcania,Afghanistan, andTurkestan",1979,Hunting and desertification.[231]Genetics do not support subspecific differentiation with extant mainland tigers.[232],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,,,
646,Mount Glorious day frog,Taudactylus diurnus,"SoutheastQueensland, Australia",1979,Undetermined.[469],Animalia,Chordata,Amphibia,Anura,Myobatrachidae,Taudactylus,,,†T. diurnus,,,,,,2002(IUCN),,
647,Maui nukupu'u,Hemignathus affinis,"Maui, Hawaii, United States",1980,Undetermined.,Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
648,Olomaʻo,Myadestes lanaiensis,"Maui, Lana'i, and Molokai, Hawaii",1980,"Disease and habitat degradation caused by introduced pigs,axis deer, and mosquitos.[471]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
649,Anabarilius macrolepis,Anabarilius macrolepis,"Yilong Lake,Yunnan, China",1981,"Drying of the lake for 20 days, after excessivewater abstractionfor agriculture.[472]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2011(IUCN),,
650,Mariana mallard,Anas platyrhynchos oustaleti,Mariana Islands,1981,Hunting and habitat loss to agriculture.[474],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2004,,
651,Yilong carp,Cyprinus yilongensis,"Yilong Lake, Yunnan, China",1981,Drying of the lake after excessive water abstraction for agriculture.[475],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1996(IUCN),,
652,Puhielelu hibiscadelphus,Hibiscadelphus crucibracteatus,"Lana'i, Hawaii, United States",1981,Predation by introduced axis deer.[237],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
653,Bishop's ʻōʻō,Moho bishopi,"Molokai, Hawaii, United States",1981,"Habitat loss to agriculture and livestock grazing, followed by the introduction of black rats and disease-carrying mosquitos.[476]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2000(IUCN),,
654,Southern gastric-brooding frog,Rheobatrachus silus,"Southeast Queensland, Australia",1981,"Undetermined, possibly chytridiomycosis.[477]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2002(IUCN),,
655,Galápagos damsel,Azurina eupalama,"Galápagos Islands, Ecuador",1982-1983,1982-83 El Niño event.[478],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
656,Pait,Barbodes amarus,"Lake Lanao, Mindanao, Philippines",1982,Predation by introduced fishes.[479],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2020(IUCN),,
657,San Marcos gambusia,Gambusia georgei,"San Marcos spring andriver, Texas, United States",1983,"Reduced flow and pollution from agriculture, introduced fishes and plants (Colocasia esculenta), and hybridization withGambusia affinis.[480]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1990,,
658,24-rayed sunstar,Heliaster solaris,"Galápagos Islands, Ecuador",1983,1982-83 El Niño event.[481],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
659,Guam flycatcher,Myiagra freycineti,Guam,1983,Predation by the introducedbrown tree snake.[482],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1994(IUCN)2004[474],,
660,Formosan clouded leopard,Neofelis nebulosa brachyura,Taiwan,1983,Hunting. Subspecific status has been denied on morphological and genetic grounds.[232],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2013[483][better source needed],,
661,Aldabra brush-warbler,Nesillas aldabrana,"Malabar Island, Seychelles",1983,"Possibly predation by introduced cats and rats, and habitat degradation bygoatsandtortoises.[484]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1994(IUCN),,
662,Atitlán grebe,Podilymbus gigas,"Lake Atitlán,Guatemala",1983-1986,"Predation and competition with introducedlargemouth bass, water level fall after the1976 Guatemala earthquake, and degradation of breeding sites due to reed-cutting andtourismdevelopment.[485]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1994(IUCN),,
663,Green blossom,Epioblasma torulosa gubernaculum,"Tennessee River system, United States",1984,"Impoundment, siltation, and pollution.[442]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
664,Javan tiger,Panthera tigris sondaica,"Java, Indonesia",1984,"Hunting and habitat loss.[231]Genetics do not support subspecies differentiation with the extant Sumatran tiger; if placed in the same subspecies, this would have the nameP. t. sondaicadue to being older.[232]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1994,,
665,California condor louse,Colpocephalum californici,North America,c. 1985,Delousingof all survivingCalifornia condorsas prerequisite for theircaptive breeding program.[14],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
666,Timucua heart lichen,Cora timucua,"Florida, United States",1985,Habitat destruction for urban development.[486],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
667,Christmas Island shrew,Crocidura trichura,"Christmas Island, Australia",1985,Undetermined.[487],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
668,Kāmaʻo,Myadestes myadestinus,"Kaua'i, Hawaii, United States",1985,Habitat loss and disease spread by introduced mosquitos.[488],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2004(IUCN),,
669,Ua Pou monarch,Pomarea mira,"Ua Pou, Marquesas, French Polynesia",1985,Deforestation and predation by introduced black rats.[489],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
670,Northern gastric-brooding frog,Rheobatrachus vitellinus,"Mid-eastern Queensland, Australia",1985,"Undetermined, possibly chytridiomycosis.[490]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2002(IUCN),,
671,Alaotra grebe,Tachybaptus rufolavatus,"Lake Alaotra, Madagascar",1985,"Hunting, accidental capture innylongillnets, predation and competition with introduced largemouth bass,striped snakehead, andTilapia; habitat degradation from agriculture, and hybridization with thelittle grebe.[491]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2010(IUCN),,
672,Pass stubfoot toad,Atelopus senex,CentralCosta Rica,1986,Possibly chytridiomycosis or climate change.[492],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2020(IUCN),,
673,Zanzibar leopard,Panthera pardus adersi,"Unguja Island,Tanzania",1986,Extermination campaign.[231]The subspecies has been subsumed into the extantAfrican leopardon morphological grounds.[493],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
674,Banff longnose dace,Rhinichthys cataractae smithi,"Banff National Park,Alberta, Canada",1986,"Habitat degradation, competition and hybridization with introduced fishes.[494]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1987,,
675,Dusky seaside sparrow,Ammospiza maritima nigrescens,"Merritt Islandand theSt. Johns River, Florida, United States",1987,Flooding and draining ofmarshesto reduce mosquito population.[495],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,1990,,
676,Cuban ivory-billed woodpecker,Campephilus principalis bairdii,Cuba,1987,Habitat loss.[394],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
677,Kauaʻi ʻōʻō,Moho braccatus,"Kauaʻi, Hawaii, United States",1987,"Habitat loss and introduced black rats, pigs, and disease-carrying mosquitos. The last female was killed byHurricane Iwaduring the 1982-1983 El Niño event.[496]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2000(IUCN),,
678,Maui ʻakepa,Loxops ochraceus,"Maui, Hawaii, United States",1988,Undetermined.[497],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
679,Bachman's warbler,Vermivora bachmanii,Southeastern United States and Cuba,1988,Habitat destruction from swampland draining and sugarcane agriculture.[499],Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,,,
680,Golden toad,Incilius periglenes,"Monteverde Cloud Forest Reserve, Costa Rica",1989,"Anthropogenic global warming, chytridiomycosis, and airborne pollution.[500]",Animalia,Chordata,Amphibia,Anura,Bufonidae,Incilius,,,†I. periglenes,,,,,,2020(IUCN),,
681,Baolan,Barbodes baoulan,"Lake Lanao, Mindanao, Philippines",1991,Predation by introduced fishes.[501],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,2020(IUCN),,
682,Splendid poison frog,Oophaga speciosa,WesternPanama,1992,Chytridiomycosis.[502],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,2020(IUCN),,
683,Moroccan bustard,Ardeotis arabs lynesi,Western Morocco,1993,Undetermined.[53],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
684,Chiriqui harlequin frog,Atelopus chiriquiensis,"Talamanca-Chiriqui mountains, Costa Rica",1996,Chytridiomycosis.[503],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
685,Norfolk Island boobook,Ninox novaeseelandiae undulata,"Norfolk Island, Australia",1996,Deforestation leading to increased competition for nest-hollows withhoneybeesandcrimson rosellas. Descendants of hybrids with the New Zealand subspecies survive in the island.[53],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
686,Barbary leopard,Panthera pardus panthera,Atlas Mountains,1996,Hunting.[231]The subspecies has been subsumed into the extant African leopard on morphological grounds.[493],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
687,Swollen Raiatea Tree Snail,Partula turgida,"Raiatea, Society Islands, French Polynesia",1996,Predation by introducedrosy wolfsnails.[504],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,1996(IUCN),,
688,Green and red venter harlequin toad,Atelopus pinangoi,"Mérida, Venezuela",1997,"Chytridiomicosis, habitat destruction, and predation by introducedtrout.[505]",Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
689,Sangihe dwarf kingfisher,Ceyx fallax sangirensis,"Sangihe Islands, Indonesia",1997,Habitat destruction.[53],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
690,Iberian lynx louse,Felicola isidoroi,Iberian Peninsula,1997,Undetermined.[506],Animalia,Arthropoda,Insecta,Psocodea,Trichodectidae,Felicola,,,†F. isidoroi,,,,,,,,
691,Pyrenean ibex,Capra pyrenaica pyrenaica,Pyrenees;[269]Cantabrian Mountains?[507],2000,"Hunting, competition for pastures and diseases from exotic and domestic ungulates.[509][510]",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2000(IUCN)[508],,
692,Glaucous macaw,Anodorhynchus glaucus,"Border area of Argentina,Paraguay, Brazil, and Uruguay",2001,"Deforestation for agriculture and livestock grazing, particularly of theYatay palmin which it fed.[511]",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,,,
693,Polynesian tree snail,Partula labrusca,"Raiatea, Society Islands, French Polynesia",2002,Predation by introduced rosy wolfsnails.[512],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2007(IUCN),,
694,Saint Helena olive,Nesiota elliptica,Saint Helena,2003,"Deforestation for fuel and timber, and use of the land for plantations ofNew Zealand flax, leading toinbreeding depressionand fungal infections from reduced numbers.[513]",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2004(IUCN),,
695,Chinese paddlefish,Psephurus gladius,"Yangtzeand Yellow River basins, China",2003,"Overfishing; construction of theGezhoubaandThree Gorges dams, causingpopulation fragmentationand blocking theanadromousspawningmigration.",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2019(IUCN)[514],,
696,Chinese river dolphin,Lipotes vexillifer,"Middle and lower Yangtze, China",2002,"Hunting, increased pollution and naval traffic, and habitat loss including as a result of the construction of the Three Gorges Dam.",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2007[515],,
697,Po'ouli,Melamprosops phaeosoma,"Eastern Maui, Hawaii, United States",2004,Introduced avian malaria and predators.[516],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2019(IUCN),,
698,Western black rhinoceros,Diceros bicornis longipes,South SudantoNigerian-Nigerborder area,2006,Hunting.[517],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2011(IUCN),,
699,South Island kōkako,Callaeas cinereus,"South Island, New Zealand",2007,"Habitat destruction from logging and grazing ungulates, and predation by introduced black rats,brush-tailed possums, andstoats.[518]",Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,,,
700,Bramble Cay melomys,Melomys rubicola,"Bramble Cay, Australia",2009,Sea level riseas a consequence of global warming.[520],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2015(IUCN)[519],,
701,Christmas Island pipistrelle,Pipistrellus murrayi,"Christmas Island, Australia",2009,Undetermined.[521],Animalia,Chordata,Mammalia,Chiroptera,Vespertilionidae,Pipistrellus,,,†P. murrayi,,,,,,2017(IUCN),,
702,Vietnamese rhinoceros,Rhinoceros sondaicus annamiticus,South ChinaandIndochina,2010,Hunting.[522],Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,,,†A. apexfulva,,,,,,2011,,Achatinella
703,Alagoas foliage-gleaner,Philydor novaesi,"AlagoasandPernambuco, Brazil",2011,Deforestation.[53],Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,,,†A. apexfulva,,,,,,2019(IUCN),,Achatinella
704,Pinta Island tortoise,Chelonoidis abingdonii,"Pinta, Galápagos Islands, Ecuador",2012,"Hunting and overgrazing by introduced goats. Hybrid descendants of this species still exist in other Galapagos islands, as a result of human action.[524]",Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,,,†A. apexfulva,,,,,,2012(IUCN)[523],,Achatinella
705,Christmas Island forest skink,Emoia nativitatis,"Christmas Island, Australia",2014,Undetermined.[525],Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,,,†A. apexfulva,,,,,,2017(IUCN),,Achatinella
706,Rabbs' fringe-limbed treefrog,Ecnomiohyla rabborum,"El Valle de Antón, Panama",2016,Chytridiomycosis.[526],Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,,,†A. apexfulva,,,,,,,,Achatinella
707,Oahu treesnail,Achatinella apexfulva,"Oahu, Hawaii, United States",2019,Predation by introduced rosy wolfsnails.[527],Animalia,Mollusca,Gastropoda,Stylommatophora,Achatinellidae,Achatinella,,,†A. apexfulva,,,,,,,,Achatinella
