,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
0,Least Concern,Africa,Animalia,Chordata,Mammalia,Tubulidentata,Orycteropodidae,Orycteropus,Orycteropus afer,"Termites, Ants",Cub,Solitary,Can move up to 2ft of soil in just 15 seconds!,Unknown,Habitat loss,"Long, sticky tongue and rabbit-like ears","Antbear, Earth Pig",7 months,Sandy and clay soil,Omnivore,1,Nocturnal,Aardvark,18,Sub-Saharan Africa,Can move 2ft of soil in just 15 seconds!,Mammal,BrownGreyYellow,Hair,25 mph,23 years,60kg - 80kg (130lbs - 180lbs),1.05m - 2.20m (3.4ft - 7.3ft),2 years,3 months,,,,,,,,,,,,,,,,,,,,,,,,
1,Not Listed,Africa,Animalia,Chordata,Mammalia,Carnivora,Felidae,Felis,Felis catus,,,,The oldest breed of cat in the world!,,,,aka Aby or Abys for short,,,Omnivore,6,,Abyssinian cat,,,The oldest breed of cat in the world!,Cat,BrownGreyBlackWhiteBeige,Hair,,13-15 years,6-10 lbs,,,,Silky fur and almond shaped eyes,Intelligent and curious,Easy,Shorthair,,,,,,,,,,,,,,,,,,,,
2,Critically Endangered,Africa,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Addax,Addax nasomaculatus,,Calf,Social,"The hooves of the addax are splayed and have flat, springy soles, one of the adaptations that help it walk over sand.",Less than 500 in the wild,"Overhunting, poaching, habitat destruction, climate change, human activity.","Its long, beautiful, spiral horns"," White antelope, screwhorn antelope, bakr al wahsh",257 to 264 days,Desert and semidesert habitats,Herbivore,,,Addax,1,"Areas of Niger, Chad, Mali, Mauritania, Libya, Sudan, reintroduced into Tunisia and Morocco",,herd,WhiteGrey-Brown,Hair,,19-25 years,,47 to 51 inches with a 9.8 to 13.8 inch tail,"Two years for males, two to three years for females",5 to 9 months,,,,Mammal,01-Ù·¯,"Humans, big cats such as lions and leopards, medium-sized cats such as servals, hyenas and African wild dogs","Males 41 to 45 inches at the shoulder, females 37 to 43 inches at the shoulder",,,,,,,,,,,,,,,,,
3,Least Concern,"('Antarctica', 'Asia', 'Eurasia', 'Ocean')",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Pygoscelis,Pygoscelis adeliae,"Krill, Fish, Squid",Chicks,Colony,Eats up to 2kg of food per day!,5 million,Rapid ice melt,Small white circle around each eye,,,Antarctic land and ocean,Carnivore,,Diurnal,Adelie Penguin,1,Coastal Antarctica,Eats up to 2kg of food per day!,Bird,,Feathers,45 mph,10 - 20 years,3kg - 6kg (7lbs - 13lbs),,2 - 3 years,,,,,,,"Leopard Seal, Skua Gull, Killer Whale",40cm - 75cm (16in - 30in),35cm - 70cm (14in - 27.5in),2 months,90 days,2,,,,,,,,,,,,,
4,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,The German name Affenpinscher translates to monkey dog. This pup‚Äôs face is similar to a monkey‚Äôs!,,,,,,,Omnivore,3,,Affenpinscher,,,First bred in 17th century Germany!,Dog,GreyBlack,Hair,,,,,,,Dark wiry-haired body and dark eyes,Alert and inquisitive,Medium,Terrier,,,,,,,,,,,,,,,,,,,,
5,Not Listed,Asia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,"These dogs were originally bred for hunting purposes. They are one of the oldest dog breeds in the world, though they are now found in several rescue shelters around the world. They are known to be as fast as racehorses. The fur that covers these hounds keeps them very warm, though they can be shaved as well. Afghan Hounds have scent glands that usually produce a musky but not malodorous scent.",,,,,,,Omnivore,7,,Afghan Hound,,,First used as a shepherd and hunter!,Dog,BrownBlackWhiteGold,Hair,,,,,,,Long fur and pointed muzzle,Alert yet reserved and lively,Moderately Easy,Hound,,,,,,,,,,,,,,,,,,,,
6,Least Concern,Africa,Animalia,Chordata,Amphibia,Anura,Pyxicephalidae,Pyxicephalus,Pyxicephalus adspersus,,"Tadpole, polliwog, larva",Solitary,The African bullfrog is one of only three species of frog that have ‚Äúteeth.‚Äù,Unknown,"Habitat destruction, hunting, pet trade",Size,"Pixie frog, Giant African Bullfrog",,"Deserts, high veld, floodplains, grassland, savanna, farms, marshes, ponds, lakes",Carnivore,,,African bullfrog,1,Sub-Saharan Africa,,,YellowCreamOliveLight-Brown,Permeable,,45 years,0.9 to 18 kilograms (2 - 4 pounds),11.43 - 25.4 centimeters (4.5 - 10 inches),1.5 - 2 years,,,,,Amphibian,As many as 4000 eggs laid at a time,Humans,,,,,,"Reptiles, small mammals, small birds, insects, amphibians, including other frogs",Fresh,,,,,,,,,,,
7,Near Threatened,Africa,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta africana africana,"Grass, Fruit, Roots",Calf,Herd,Can drink up to 50 gallons a day!,"300,000",Poaching and habitat loss,"Large, rounded ears",African Elephant,20 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Bush Elephant,1,central and southern Africa,Can drink up to 50 gallons a day,Mammal,BrownGrey,Leather,25 mph,60 - 70 years,"3,600kg - 5,400kg (7,900lbs - 12,000lbs)",,11 - 20 years,6 - 18 months,,,,,,"Human, Lion, Hyena",3m - 3.5m (10ft - 12ft),,,,,,,,,,,,,,,,,
8,Least Concern,Africa,Animalia,Chordata,Mammalia,Carnivora,Viverridae,Civettictis,Civettictis civetta,"Rodents, Snakes, Frogs",Pup,Solitary,Secretes up to 4g of musk every week!,Abundant,Habitat loss,Black band around their eyes,,60 - 70 days,Tropical rainforest,Omnivore,3,Nocturnal,African Civet,1,across sub-Saharan Africa,Secretes up to 4g of musk every week!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,11 - 12 months,8 - 10 weeks,,,,,,"Lions, Snakes, Leopards",43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,
9,Least Concern,Africa,Animalia,Chordata,Amphibia,Anura,Pipidae,Xenopus,Xenopus laevis,"Small Fish, Insects, Spiders",Tadpole,Solitary,A particularly ferocious amphibian!,Abundant,Water pollution,Clawed front toes,Platanna,,Warm stagnant water with grassland,Carnivore,,Nocturnal,African Clawed Frog,1,eastern and southern Africa,A particularly ferocious amphibian!,Amphibian,BrownGreyAlbino,Permeable Scales,5 mph,8 - 15 years,25g - 220g (1oz - 8oz),2.5cm - 12cm (1in - 5in),10 - 12 months,,,,,,,"Snakes, Birds, Small Mammals",,,4 - 5 days,,,,Fresh,5 days,"2,000",,,,,,,,,
10,Endangered,Africa,Animalia,Chordata,Mammalia,Proboscidea,Elephantidae,Loxodonta,Loxodonta cyclotis,"Grass, Fruit, Roots",Calf,Herd,The largest known mammal on land!,"200,000",Poaching and habitat loss,"Rounded ears and thin, straight tusks",African Elephant,22 - 24 months,"Forest, savannah and flood plains",Herbivore,1,Diurnal,African Forest Elephant,1,central and southern Africa,Have large rounded ears to help keep them cool!,Mammal,BrownGrey,Leather,24 mph,60 - 70 years,"900kg - 3,000kg (1,984lbs - 6,613lbs)",,11 - 20 years,5 years,,,,,,"Human, Lion, Hyena",2m - 3m (6.6ft - 9.8ft),,,,,,,,,,,,,,,,,
11,Endangered,Africa,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Psittacus,Psittacus erithacus,,,,"When a grey parrot named Yosuke got lost, it was reunited with its owner after giving the owner's name and address.","630,00 to 13 million","Habitat destruction, pet trade, pesticides, hunting",,"Congo grey parrot, grey parrot, Congo African grey parrot",,"Lowland forests, mangroves, savannas, gardens",Herbivore,,,African grey parrot,1,Central and West Africa,,,GreyRed,,42 mph,"23 years in the wild, up to 60 years in captivity",14.75 to 18.5 ounces,13 inches,,,,,,bird,three to five,"Birds of prey, monkeys, terrestrial predators",,18 to 20.5 inches,30 days,,4,,,,,Tree cavity,12 weeks,,,,,,,
12,Least Concern,Africa,Animalia,Chordata,Mammalia,Carnivora,Nandiniidae,Nandinia,Nandinia binotata,"Rodents, Snakes, Frogs",Pup,Solitary,Solitary but gathers in groups!,Locally abundant,Habitat loss,"Snout with sharp, pointed teeth",Two-Spotted Palm Civet,64 days,Tropical rainforest,Omnivore,2,Crepuscular,African Palm Civet,1,eastern Africa,Solitary but gathers in groups!,Mammal,BrownGreyYellowBlackWhiteTan,Fur,,15 - 20 years,1.4kg - 4.5kg (3lbs - 10lbs),,2 - 3 years,2 months,,,,,,"Lions, Snakes, Leopards",43cm - 71cm (17in - 28in),,,,,,,,,,,,,,,,,
13,Endangered,"('Africa', 'Ocean')",Animalia,Chordata,Aves,Sphenisciformes,Spheniscidae,Spheniscus,Spheniscus demersus,"Fish, Squid, Crustaceans",Chick,Colony,The only penguin species in Africa!,"140,000",Habitat disruption,Pink glands above their eyes,Jackass Penguin,,Rocky Ocean Islands,Carnivore,,Diurnal,African Penguin,1,south-west African coast,The only penguin species in Africa!,Bird,GreyBlackWhite,Feathers,12.4 mph,10 - 15 years,2kg - 5kg (4.4lbs - 11lbs),,3 - 4 years,,,,,,,"Sharks, Fur Seals, Gulls",60cm - 68cm (24in - 27in),,40 days,3 - 5 months,2,,Salt,,,,,,,,,,,
14,Least Concern,Africa,Animalia,Chordata,Amphibia,Anura,Bufonidae,Nectophryne,Nectophryne afra,"Insects, Worms, Snails",,,,,,,,,Tropical lowland forest,Carnivore,,Solitary,,,Central Africa,Found in tropical moist lowland forests!,,BrownBlackWhiteTan,Permeable,5 mph,3 - 5 years,2g - 5g (0.07oz - 0.18oz),2.5cm - 3.8cm (1in - 1.5in),,,Small body size and webbed feet,,,Amphibian,,"Fish, Toads, Birds",,,,,,,,,100,,,,,,,,,
15,Endangered,Africa,Animalia,Chordata,Mammalia,Carnivora,Canidae,Lycaon,Lycaon pictus,"Antelope, Warthog, Rodents",Pup,Pack,Also known as the painted dog!,"Less than 5,000",Habitat loss,Four toes on each foot rather than five,"Hunting Dog, Painted Dog, Painted Wolf",70 days,Open plains and savanna,Carnivore,8,Crepuscular,African Wild Dog,1,sub-Saharan Africa,Also known as the painted dog!,Mammal,BrownGreyRedBlackWhiteGoldTan,Fur,45 mph,10 - 13 years,17kg - 36kg (39lbs - 79lbs),75cm - 110cm (29in - 43in),12 - 18 months,3 months,,,,,,"Lions, Hyenas, Humans",,,,,,,,,,,,,,,,,,
16,Not Listed,Africa,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,"This dog has a thick coat of fur despite its origins in Morocco, a country known for its hot temperatures.",,,,"Atlas Mountain Dog, Atlas Shepherd Dog, Berber Dog, Chien de l'Atlas, and Chien de montagne de l'Atlas",,,Omnivore,,,Aidi,,,,,RedBlackWhiteTawny,Hair,,12-15 years,,,,,,protective and playful,,Mammal,5-8 puppies,,,,,,,,,,,,,Morocco,,,,,,
17,Not Listed,Asia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Ainu dogs are natural hunters and will protect their owners from bears.,,,,,,,Omnivore,7,,Ainu Dog,,,An innate sense of direction!,Dog,BrownGreyWhiteTan,Hair,,,,,,,Sharply pointed ears and upturned tail,"Fearless, determined and loyal",Hard,Working,,,,,,,,,,,,,,,,,,,,
18,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,"The Airedale may just be one of the most versatile dogs in the world. The Airedale was originally bred to catch vermin, but it became an all-around sporting dog with a mix of abilities as a pointer, spaniel, retriever, guide dog and police/military dog.",,,,,,,Omnivore,8,,Airedale Terrier,,,"Very intelligent, independent and strong-minded!",Dog,BrownBlackTan,Hair,,,,,,,Long muzzle and square body,"Friendly, adaptable and courageous",Fairly Easy,Terrier,,,,,,,,,,,,,,,,,,,,
19,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,It has loose neck skin for lessening bites and allowing mobility from predators.,,,,,,,Omnivore,8,,Akbash,,,Often used as a guard dog!,Dog,BrownWhite,Hair,,,,,,,Big head and powerful jaws,"Calm, independent, brave and protective",Hard,Guard,,,,,,,,,,,,,,,,,,,,
20,Not Listed,Asia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Although originating from Japan, the Akita has an American equivalent mix",,,,,,,Omnivore,7,,Akita,,,"Very clean, intelligent and loyal!",Dog,BrownGreyBlackWhite,Hair,,10 ‚Äì 15 years,130 lbs,,,,Pointed ears and upward curving tail,"Intelligent, courageous and fearless",Medium - Hard,Working,,,,,,,,,,,,,,,,,,,,
21,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Akita Shepherd descends from a lineage of working dogs.,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhiteBrindleSilver,Hair,,10 to 13 years,120 lbs,,,,,"Loyal, hard-working, and courageous",,,,,,,,,,,,,,,,,,,,,,
22,Not Listed,Eurasia,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"The Alabai‚Äôs genes indicate that this breed has been around for more than 5,000 years.",,,,,,,Omnivore,,,,,,,,GreyBlackWhiteBrindleMulti-colored,Hair,,12 ‚Äì 15 years,110+ lbs,,,,,"Independent, proud, and affectionate",,,,,,,,,,,,,,,,,,,,,,
23,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The Alaskan Husky is one of the most common sled dogs in the world,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlackWhite,Hair,,10 ‚Äì 12 years,65 lbs,,,,,"Energetic, hard-working, and affectionate",,,,,,,,,,,,,,,,,,,,,,
24,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,Puppy,,The Alaskan Klee Kai is very vocal and isn't shy when communicating with his family.,,,"the contrasting colored facial mask with the well-defined nose bar down the center of the muzzle, and goggles around the eyes",,,,Omnivore,,,,,,,,GreyRedBlackWhite,Hair,,13-16 years,,,,,,,,,1-5 puppies,,,,,,,,,,,,,Alaska,,,,,,
25,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,,,,,,,,Omnivore,6,,Alaskan Malamute,,,Often used as sled dogs!,Dog,GreyBlackWhite,Hair,,,,,,,Pointed face and upturned tail,"Affectionate, friendly and loyal",Medium,Working,,,,,,,,,,,,,,,,,,,,
26,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,This dog‚Äôs Malamute ancestors once came to America across the Bering Strait.,,,,,,,Omnivore,,,,,,,,BrownGreyRedBlueBlackWhiteCreamSilver,Hair,,9-13years,85 lbs,,,,,"Loyal, attentive, and hard-working",,,,,,,,,,,,,,,,,,,,,,
27,Near Threatened,Ocean,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Thunnus,Thunnus alalunga,,,School,The albacore is a very fast swimmer,More than a million,Overfishing,The long pectoral fin that stretches across the body,Longfin tuna,A few days,Oceans,Carnivore,,,Albacore tuna,1,,,,GreyBlueSilver,Smooth,50 mph,10 - 12 years,Up to 80lbs,1.2m (4ft),,,,,,Ray-finned fish,,"Sharks, billfish, rays, humans, and other tunas",,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,,,
28,Near Threatened,"('Africa', 'North-America', 'Ocean', 'Oceania', 'South-America')",Animalia,Chordata,Aves,Procellariiformes,Diomedeidae,,Diomedeidae,"Squid, krill, and fish",Chicks,Colonial Nesting,The largest wingspan of any bird in the world!,Varies by species,Depletion of prey from overfishing,The large size,Mollymawk or gooney bird,A few months,Open seas and oceans,Carnivore,,,Albatross,,The Southern Hemisphere and North Pacific,,,BrownGreyYellowRedBlackWhite,Feathers,50 mph,Up to 50 years,Up to 22lbs (10kg),Up to 4.4ft (1.2m),5 to 10 years,,,,,Bird,1,"Humans, sharks, cats, and rats",,Up to 3.3m (11ft),,3 to 10 months,,,,,,,,,,,,,,
29,Vulnerable,Ocean,Animalia,Chordata,Reptilia,Testudines,Testudinidae,Geochelone,Geochelone gigantea,"Grasses, Leaves, Flowers",Hatchling,Herd,One got to be 255 years old!,"200,000",Habitat loss,"Large, high-domed shell",Giant Tortoise,,Grasslands and swamps,Herbivore,,Diurnal,Aldabra Giant Tortoise,1,Aldabra atoll in the Indian Ocean,One got to be 255 years old!,Reptile,BrownBlackTan,Scales,0.3 mph,80 - 255 years,150kg - 250kg (330lbs - 550lbs),90cm - 120cm (3ft - 4ft),20 - 30 years,,,,,,,"Giant Crab, Humans, Cats",,,8 months,,15,,,3 - 6 months,,,,,,,,,,
30,Least Concern,"('Asia', 'North-America', 'Ocean')",Animalia,Chordata,Reptilia,Crocodilia,Alligatoridae,Alligator,Alligator mississippiensis,"Fish, Snakes, Turtles",Hatchling,Solitary,They have two sets of eyelids!,1 million/less than 100,Water pollution,Muscular tail half the total body length,Gator,,Marsh and swampland,Carnivore,,Diurnal/Nocturnal,Alligator,2,southern USA and China,They have two sets of eyelids!,Reptile,BrownGreyYellowBlackGreen,Scales,15 mph,30 - 60 years,181kg - 363kg (400lbs - 800lbs),2.5cm - 4.5m (8ft - 15ft),10 - 12 years,,,,,,,"Human, Birds, Raccoon",,,2 months,,35,,Brackish,1- 2 years,,,,,,,,,,
31,Least Concern,"('Central-America', 'North-America')",Animalia,Chordata,Actinopterygii,Lepisosteiformes,Lepisosteidae,Atractosteus,Atractosteus spatula,,,Solitary,The alligator gar has toxic eggs to protect against predators,Unknown,Overhunting,Sharp teeth,Garpike,6-8 days,"Rivers, lakes, swamps, bayous, and estuaries",Carnivore,,,Alligator Gar,1,,,,BrownGreyYellowWhiteGreen,Scales,,About 50 years,Up to 350lbs,Up to 3m (10ft),,,,,,Ray-finned fish,,Humans and alligators,,,,,,"Fish, turtles, birds, and mammals",Fresh,,,,,,,,,,,
32,Least Concern,South-America,Animalia,Chordata,Mammalia,Artiodactyla,Camelidae,Vicugna,Vicugna pacos,,Cria,Herd,They can spit up to 10 feet.,Least concern,Loss of rangeland,Hypoallergenic fleece,Vicugna,242-345 days,"Farms, temperate high meadow",Herbivore,,,Alpaca,1,"Andes Mountains of Peru, Bolivia, Ecuador and Chile",,,BrownFawnBlackWhiteTanDark BrownCreamChocolateCaramelBeigeChestnutWhite-BrownBlack-BrownSandyGoldenBlondeLight-Brown,Fur,35 mph,15-20 years,48-84 kilograms (106-185 pounds),120-225 centimeters (4-7 feet),Females 18 months; males two to three years,Around six months,,,,,One,,81-99 centimeters (32-39 inches) to withers,,,,,,,,,,,,"Hay, pasture grass and/or silage",,,,,
33,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,It‚Äôs known as a cold-nose hound because it can pick up a scent on a trail that‚Äôs gone cold.,,,,,,,Omnivore,8,,Alpine Dachsbracke,,,Good companion and hard-working breed!,Dog,BrownRedBlack,Hair,,12 years,,,,,"Elongated body and short, stocky legs","Fearless, friendly and intelligent",Easy,Scent Hound,,,,,,,,,,,,,,,,,,,,
34,Least Concern,"('Europe', 'North-America')",Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kids,Herd,"Alpine goats are the most common type of goat used for milk, cheese, and other dairy products",,Habitat reduction,"Tall, slightly curved horns","French Alpine, British Alpine, Rock Alpine",155 days,"Domestic, mountains",Herbivore,,,Alpine goat,,,,,BrownGreyBlackWhite,Hair,15 mph,15-18 years,135-175 lbs,,2 years,8 weeks,,,,Mammal,1.75,"Wolves, mountain lions, bobcats, and other carnivores",32 inches,,,,,,,,,,,,"Grass, vegetation",,,,,
35,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,Alusky dogs are known for their sledding pulling skills.,,,,,,,Omnivore,,,,,,,,BrownGreyBlackWhiteSilver,Hair,,10 to 15 years,100 lbs,,,,,Energetic and friendly,,,,,,,,,,,,,,,,,,,,,,
36,Central-America,South-America,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Amazona,,,,,"These parrots can be trained to be ""talking birds"" that mimic human speech","The populations of many wild Amazon parrots haven‚Äôt been quantified, but 58 percent of these parrots are now considered endangered as of 2021. As of 2020 there were 2361 yellow-naped Amazon parrots, and there are an estimated 9000 to 10,000 red-tailed amazons in the wild. On the other hand, the Imperial amazon is considered critically endangered, and there may be only 50 adult birds in the wild.","Pet trade, habitat destruction",Their colorful feathers,"Sisserou, turquoise-fronted parrot, yellow-shouldered parrot, mercenary amazon, red-tailed parrot, cuca",,"Woodlands, savannas, rainforests, palm groves, cloud forests, moist forests, mountain forests",Herbivore,,,Amazon Parrot,35,"South America, the Caribbean, Mexico, South Africa, Europe",,,YellowRedBlueGreenPurple,Feathers,50 mph,As long as 100 years,7.6 ounces to 32 ounces,10 to 20 inches long,,,,,,Bird,Two to five,"Monkeys, birds of prey, snakes",,8 inches to 11.26 inches,About a month,,,,,,,Tree cavity,Two months,,,,,,,
37,Endangered,South-America,Animalia,Chordata,Mammalia,Cetacea,Platanistoidea,Platanistidae,Platanistoidea,,,,,,,,,,Large tropical rivers and estuaries,Carnivore,1,School,,,,Also known as the 'Pink Dolphin',,GreyPink,Smooth,18 mph,12-18 years,100-200kg (220-440lbs),,,,,,,Mammal,,Human,,,,,,"Fish, Prawns, Frogs",,,,,,,Fish,,,,,
38,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,,,,,,,,Carnivore,,,American Alsatian,,,,,BlackGoldCreamSilver,Hair,,,66-88 pounds,,,,,"Calm, friendly, and loyal",,,,,24-26 inches,,,,,,,,,,,,,,,,,
39,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,American bulldogs are working dogs that have been used on farms and ranches across the country.,,,,,,,Omnivore,8,,American Bulldog,,,Can jump up to 6ft high!,Dog,BrownRedBlackWhiteTanBrindle,Hair,,,,,,,Small pendant shaped ears and strong body,Assertive but loyal and friendly,Hard,Mastiff,,,,,,,,,,,,,,,,,,,,
40,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Merry, outgoing, and eager to please!",,,,,,,Omnivore,4,,American Cocker Spaniel,,,"Merry, outgoing, and eager to please!",Dog,BrownGreyFawnRedBlackWhiteTan,Hair,,,,,,,"Long, dropped ears and feathered feet","Friendly, happy and enthusiastic",Easy,Gun Dog,,,,,,,,,,,,,,,,,,,,
41,Not Listed,"('Africa', 'Europe', 'North-America')",Animalia,Arthropoda,Insecta,Blattodea,Blattidae,Periplaneta,Periplaneta americana,organic and decaying matter,Nymph,Colony,"Despite its name, actually originated from Africa and the Middle East",,extermination by humans,two sets of wings,"ship cockroach, kakerlac, waterbug and Bombay canary",6-8 weeks,"Moist regions, within manmade structures",Omnivore,,,"Roach, waterbug",1,"North America, Spain, Portugal, Africa, Middle East",,intrusion (then infestation),BrownRed,Exoskeleton,3.4 mph,90 to 706 days,0.105g,29mm ‚Äì 53mm (1.1in ‚Äì 2.1in),6-12 months,,,,,insect, 9‚Äì10 egg cases on average (up to 90 cases),,7mm (0.28in),,,,,,,,,,,,,,,,,
42,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,American coonhounds have the skills to climb trees while pursuing a raccoon or other animal.,,,,,,,Omnivore,7,,American Coonhound,,,Easygoing and people-friendly!,Dog,BrownBlackWhiteTan,Hair,,12 years,,,,,"Long ears and strong, muscular legs",Sweet and even-tempered,Medium,Working,,,,,,,,,,,,,,,,,,,,
43,Not Listed,"('Europe', 'North-America')",Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The American Eskimo was once a part of the Barnum and Bailey Circus with which it would tour the country and perform for astounded audiences.,,,,,,,Omnivore,5,,American Eskimo Dog,,,The American Eskimo has splendid all white fur and an upturned tail,Dog,White,Hair,,13 - 15 years,,,,,"Bright, white coat and pointed ears",Playful and smart,Fairly easy,,,,,,,,,,,,,,,,,,,,,
44,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,The American Foxhound is the state dog of Virginia.,,,,,,,Omnivore,7,,American Foxhound,,,"Sweet, kind, loyal, and very loving!",Dog,BlackWhiteTan,Hair,,10 to 12 years,,,,,"Long legs and wide, flat ears","Mix of affectionate, loving, and stubborn",Medium,Hound,,,,,,,,,,,,,,,,,,,,
45,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,puppy,,This breed is also known as the American Leopard Cur. The name was formally changed to American Leopard Hound in 2008.,,,,American Leopard Cur,,,Omnivore,,,,,,,,YellowBlueBlackTanBrindle,Hair,42 mph,12-15 years,,,,,,"Intelligent, athletic, and friendly",,mammal,5-8 puppies,,,,,,,,,,,,,United States,,,,,,
46,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,These dogs are very energetic and would be up for a game at any given point of time,,,,,,,Omnivore,8,,American Pit Bull Terrier,,,These dogs are very energetic and would be up for a game at any given point of time,Working dog,BrownBlackWhiteTanBrindle,Hair,,8 to 15 years,,,,,Small and sharply pointed ears,"Friendly, loyal, playful, affectionate, and slightly stubborn sometimes",,Mastiff,,,,,,,,,,,,,,,,,,,,
47,Not Listed,North-America,Animalia,Chordata,Mammalia,Artiodactyla,Bovidae,Capra,Capra aegagrus hircus,,Kid,Herd,Can jump up to 5 feet,,,Small size,"Pygmy Goat, African Pygmy, Dwarf Cameroon",5 months,"Rocky terrain, Hillsides, Plains, Farmland",Herbivore,,,Pygmy goat,,United States,,,GreyBlackWhiteCaramel,Fur,,8-12 years,30-90 lbs,18-33 inches,2-4 months,8 weeks,,,,Mammal,01-‡Ù¯,"dogs, coyotes, bobcats",15-20 inches,,,,,,,,,,,,Greens and grains,,,,,
48,Least Concern,"('Central-America', 'Europe', 'North-America')",Animalia,Chordata,Aves,Passeriformes,Turdidae,Turdus Linnaeus,Turdus migratorius,"earthworms, caterpillars, grasshoppers, beetle grubs, spiders, and snails",fledling,,The color ‚ÄúRobin egg blue‚Äù is named after the hue of their eggs.,310 million,pesticides,orange chest,,,"woodland, shrubland, and residential",Omnivore,,,American robin,7,North America,,,GreyBlackWhiteOrange,Feathers,36 mph,2 years,75-77g,8-11in,,,,,,bird,03-Ó‡È,"birds of prey, snakes, and cats",,12-16in,12-14 days,,,,,,,tree forks and dense shrubs,,,,1,,,,
49,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis Lupus,,,,The American Staffordshire Terrier got its name to distinguish it from the English Staffordshire Terriers that these dogs are originally descended from.,,,,,,,Omnivore,6,,American Staffordshire Terrier,,,Bred to be extremely friendly!,Mastiff,BrownBlackWhiteTan,Hair,,,,,,,,Dominant and stubborn yet loyal,Should be trained from a very early age using assertive techniques and should be intensively socialised with other dogs,,,,,,,,,,,,,,,,,,,,,
