,Conservation Status,Locations,Kingdom,Phylum,Class,Order,Family,Genus,Scientific Name,Prey,Name Of Young,Group Behavior,Fun Fact,Estimated Population Size,Biggest Threat,Most Distinctive Feature,Other Name(s),Gestation Period,Habitat,Diet,Average Litter Size,Lifestyle,Common Name,Number Of Species,Location,Slogan,Group,Color,Skin Type,Top Speed,Lifespan,Weight,Length,Age of Sexual Maturity,Age of Weaning,Distinctive Feature,Temperament,Training,Type,Litter Size,Predators,Height,Wingspan,Incubation Period,Age Of Fledgling,Average Clutch Size,Main Prey,Water Type,Age Of Independence,Average Spawn Size,Nesting Location,Age of Molting,Origin,Favorite Food,Migratory,Optimum pH Level,Special Features,Water type,Optimum PH Level
957,Not Listed,Oceania,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Silky terriers can be trained to participate in many events, including herding, agility, rally, tracking and fly ball.",,,,,,,Omnivore,,,,,,,,GreyBlueBlackTanSilver,Hair,,12 ‚Äì 15 years,10 lbs,,,,,Proud and opinionated,,,,,,,,,,,,,,,,,,,,,,
958,Least Concern,South-America,Animalia,Chordata,Actinopterygii,Characiformes,Characidae,,,Small invertebrates,,School,Closely related to the Piranha,,"Large -fish, birds, reptiles","Flat, disc-shaped body",,3 days,Tropical well-vegetated rivers,Omnivore,"2,000",,Silver Dollar,16,,,,Silver,Scales,,10 years,,6‚Äù,,,,,,Fish,,"Large fish, birds, reptiles",,,,,,"Bloodworm, Insects, Plants",Fresh,,,,,,Bloodworm,,05-ÈÂÏ,,,
959,Not Listed,North-America,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"The Labrador is the most popular breed in the United States and most of these dogs have blue eyes at a young age, before they turn another color.",,,,,,,Omnivore,,,,,,,,GreySilver,Hair,,10 - 14 years,80 lbs,,,,,"Intelligent, loyal, and outgoing",,,,,,,,,,,,,,,,,,,,,,
960,Near Threatened,Ocean,Animalia,Chordata,Chondrichthyes,Hexanchiformes,Hexanchidae,Hexanchus,,"Fish, sharks, rays, and crustaceans",,Solitary,The sixgill shark has six pairs of gills instead of the normal five,Unknown,Overfishing,The massive rows of comb-like teeth,Cow Shark,Longer than 2 years,Oceans,Carnivore,,,Sixgill Shark,3,,,,BrownGreyBlackWhiteGreen,Rough,,Up to 80 years,"Up to 1,600lbs",Up to 6m (20ft),,,,,,Shark,,"Humans, orcas, sharks, dolphins, and sea lions",,,,,,,Salt,,,,,,,,,,,
961,Least Concern,"('Africa', 'Asia', 'Central-America', 'Eurasia', 'Europe', 'North-America', 'Oceania', 'South-America')",Animalia,Chordata,Reptilia,Squamata,Scincidae,,,"Flies, crickets, grasshoppers, beetles, and caterpillars",skinklets,Solitary,Some skinks lay eggs in some habitats while giving birth to skinklets in other habitats.,Unknown,Man,Lizard-like body with short legs or no legs at all,Skinks,30-75 days,Varies depending on species,Carnivore,,,,,Worldwide,,,BrownGreyRedGreenOrange,Scales,65 mph,Varies by species,1gram ‚Äì 907 grams (1 ounce ‚Äì 32 ounces),7.5 cm - 81cm (3in ‚Äì 32 in),3 months - 36 months,2 days -12 months,,,,Reptiles,‡Â˜-18,"Foxes, raccoons, opossums, skunks, shrews, moles, birds",,,,,,,,,,,,,,,,,,
962,Least Concern,Ocean,Animalia,Chordata,Actinopterygii,Scombriformes,Scombridae,Katsuwonus,Katsuwonus pelamis,,,School,The skipjack is the most commonly caught tuna in the world,Millions,Overfishing,The torpedo-shaped body,"Striped tuna, ocean bonito, mushmouth, and balaya",A few days,Oceans,Carnivore,,,Skipjack tuna,1,,,,BlueSilver,Smooth,40 mph,8 - 12 years,7lbs ‚Äì 40lbs,80cm (32in),,,,,,Ray-finned fish,,"Sharks, whales, humans, seabirds, and other fish",,,,,,"Fish, crustaceans, cephalopods, and mollusks",Salt,,,,,,,,,,,
963,Least Concern,"('Asia', 'North-America', 'South-America')",Animalia,Chordata,Mammalia,Carnivora,Mephitidae,,,,,,Also known as the Polecat!,,,,,,Open woodland and dense shrub,Omnivore,6,Solitary,,,,Also known as the Polecat!,,GreyBlackWhite,Fur,10 mph,5-8 years,0.5-6.3kg (1.1-14lbs),,,,,,,Mammal,,"Owls, Coyote, Wild cats",,,,,,"Insects, Rodents, Rabbits",,,,,,,Insects,,,,,
964,Not Listed,Europe,Animalia,Chordata,Mammalia,Carnivora,Canidae,Canis,Canis lupus,,,,"Skye terriers are the oldest terrier breed, dating back at least 400 years.",,,,,,,Omnivore,,,,,,,,FawnBlueBlackLight GreyDark Grey,Hair,,12-15 years,40 lbs,,,,,"Intelligent, Gay, Friendly, Fearless, Loyal, Good-tempered",,,,,,,,,,,,,,,,,,,,,,
965,Near Threatened,Ocean,Animalia,Chordata,Chondrichthyes,Squaliformes,Somniosidae,,,"Fish, seals, and mollusks",,Solitary,The Greenland shark is one of the longest living vertebrates in the world.,Unknown,Overfishing,The sharp dagger-like teeth,Greenland Shark,Varies,Oceans,Carnivore,,,Sleeper Shark,20,,,,GreyBlueWhiteLight-Brown,Scales,1.6 mph,Up to 500 years,"Up to 2,000 pounds",Up to 20 feet,,,,,,Shark,,"Humans, Killer Whales, other sharks",,,,,,,,,,,,,,,Varies,,,
966,Endangered,"('Central-America', 'South-America')",Animalia,Chordata,Mammalia,Pilosa,Bradypodidae,Bradypus,Choloepus Hoffmani,,,,,,,,,,Tall trees in tropical rainforest,Omnivore,1,Solitary,,,,It's body temperature is between 30 - 34 degrees!,,BrownGreyWhiteTan,Fur,15 mph,25-40 years,4.5-6kg (10-13lbs),,,,,,,Mammal,,"Eagles, Snakes, Jaguar",,,,,,"Leaves, Buds, Fruit",,,,,,,Leaves,,,,,
